,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude,longitude,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
0,32.5,-117.0,,,,,,,,,,,32.5,-117.0,,,,,,,,,
1,32.6,-117.2,AMT006,BEA161,060739901000042,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.6,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
2,32.6,-117.1,AMT006,BEA161,060730101031010,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.6,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
3,32.6,-117.0,AMT006,BEA161,060730133131072,944.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.6,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
4,32.6,-116.8,AMT006,BEA161,060730213021103,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.6,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
5,32.6,-116.4,AMT006,BEA161,060730211003147,5.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.6,-116.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
6,32.6,-116.2,,,,,,,,,,,32.6,-116.2,,,,,,,,,
7,32.7,-117.3,AMT006,BEA161,060739901000034,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
8,32.7,-117.2,AMT006,BEA161,060730113001007,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
9,32.7,-117.1,AMT006,BEA161,060730033011006,4.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
10,32.7,-117.0,AMT006,BEA161,060730139032029,104.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
11,32.7,-116.9,AMT006,BEA161,060730213041021,240.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
12,32.7,-116.8,AMT006,BEA161,060730213022138,305.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.7,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
