,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
1,1,32.6,-117.2,AMT006,BEA161,60739901000042.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.6,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
2,2,32.6,-117.1,AMT006,BEA161,60730101031010.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.6,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
3,3,32.6,-117.0,AMT006,BEA161,60730133131072.0,944.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.6,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
4,4,32.6,-116.8,AMT006,BEA161,60730213021103.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.6,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
5,5,32.6,-116.4,AMT006,BEA161,60730211003147.0,5.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.6,-116.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
7,7,32.7,-117.3,AMT006,BEA161,60739901000034.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
8,8,32.7,-117.2,AMT006,BEA161,60730113001007.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
9,9,32.7,-117.1,AMT006,BEA161,60730033011006.0,4.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
10,10,32.7,-117.0,AMT006,BEA161,60730139032029.0,104.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
11,11,32.7,-116.9,AMT006,BEA161,60730213041021.0,240.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
12,12,32.7,-116.8,AMT006,BEA161,60730213022138.0,305.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
13,13,32.7,-116.6,AMT006,BEA161,60730211001056.0,6.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
14,14,32.7,-116.4,AMT006,BEA161,60730211003058.0,11.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.7,-116.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
15,15,32.7,-116.0,AMT006,BEA160,60250123011462.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.7,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
16,16,32.7,-115.9,AMT006,BEA160,60250123011471.0,13.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.7,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
17,17,32.7,-115.6,AMT006,BEA160,60250119001076.0,8.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.7,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
18,18,32.7,-115.5,AMT006,BEA160,60250119001059.0,3.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.7,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
19,19,32.7,-115.4,AMT006,BEA160,60250119002044.0,10.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.7,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
20,20,32.7,-114.7,AMT006,BEA160,40270110001054.0,0.0,BTA486,CMA321,4027.0,Yuma,EAG006,IVM321,32.7,-114.7,MEA044,MTA027,PEA157,REA006,RPC005,AZ,4.0,Arizona,VPC006
